index,smiles
31,C[C@@]12CC[C@@H]3[C@@]([C@H]1CC=C4[C@]2(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)(C[C@H]([C@@H]([C@]3(C)CO)O)O)C
32,CC(C)[C@@H](C(=O)N)NC
33,C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3C1[C@@H]4CC[C@](C4(CC3)C)(C#C)O
34,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)O)NC(=O)C1=CC(=C(C=C1)Cl)Cl
35,C(C(CO)O)O
36,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O[C@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)C)O)O)O)CO)O)NC(=O)C)O)O)O
37,[56Fe]
38,C1CCCC(CC1)NCC(=O)N2CCC[C@H]2C(=O)NCC3=CC=C(C=C3)C(=N)N
39,CCOC(=O)C1=C(N(N=C1C)C2=CC=CC=C2Cl)C
40,CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)OCCO[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O[C@@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O)C)OCCO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)OCCO[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C
41,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1CO
42,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C
43,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3(C(=O)C[C@@]2([C@]1(C(=O)CCl)O)C)F)C
44,C1C(CNC1C(=O)O)O
45,C1=NC2=C(C(=N1)N)N=CN2C3[C@@H]([C@@H]([C@H](O3)C(=O)N)O)O
46,C[C@H]1CCC2([C@@]3(CC4(C5(C([C@H](C3(C5(C2([C@@H]1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O
47,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2COC([C@@H]([C@H]2O)O)O)O)O)O
48,[102Ru]
49,[CH2]Cl
50,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
51,C1=C/C(=C\2/NC3=C(O2)C=C(C=C3)O)/C4=CC=CC(=O)C4=C1
52,CC1=C(C(=CC=C1)C)C(=O)NC2=CC(=C(C(=C2)Br)O)Br
53,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C
54,CO[C@@H]1CN(CC[C@@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
55,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
56,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
57,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
58,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
59,C(CC(=O)O)[C@@H](C(=O)O)N
60,CN(C)CCOC1=CC=CC=C1CC2=CC=CC=C2
61,C([C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O)O
62,CC(C)C[C@@](C)(C(=O)O)N
63,B1(OCCO1)OCCC[NH+]=C(N)N
64,C1=CC(=CC(=C1)C(=O)N)C2=CC=C(C=C2)[C@@H](CC3=C(C=CC(=C3)F)F)N
65,CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)N)C)O)(C)O
66,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
67,CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)OS(=O)(=O)O)O)NC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC)O
68,OP(=O)(O)OP(=O)(O)OP(=O)(O)O
69,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
70,C1CNC[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4
71,[B-]
72,CCCC/C=C\CCCCCCCCCC=O
73,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
74,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
75,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
76,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+]
77,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
78,C1CC(=O)OC1
79,CCN1C2=NC(=NC=C2N=C1NC3=CC=CC=C3Cl)NC4=C(C=CC=C4F)F
80,C([C@@H](C(=O)O)N)SO
81,[Mg+2]
82,C1=CC=C2C(=C1)C=CC3=C2N=CC=C3
83,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
84,C1=C(N=C(S1)C2C(C(C(O2)COP(=O)(CP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)O)C(=O)N.N
85,CC12CCC3C(C1CCC2OC(=O)CCC4CCCC4)CCC5=CC(=O)CCC35C
86,C1CCCCC1
87,C1CCC(CC1)COC2=NC3=NC=NN3C(=C2)NC4=CC=C(C=C4)S(=O)(=O)N
88,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O
89,CCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC
90,[16OH2]
91,CCCCC/C=C\CC(=O)C(CCCCCCCC(=O)[O-])O
92,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O
93,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C
94,[141Ce]
95,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@H]3[C@H](CC4=CC5=C(C=C24)OCO5)COC3=O
96,C1CCC(C1)N(CCO)[C@@H](CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O
97,CC1=CC(=CC(=C1CC2=CC(=C(C=C2)O)C(C)C)C)OCC(=O)O
98,C(CCCCC/C=C/C=C/C=C/C=C/C(=O)O)CCCCCO
99,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CCC4=CC(=C(C=C34)O)O
100,C[C@@H](C(=O)N1CCOCC1)N2CC[C@@H](C2=O)NS(=O)(=O)CCC3=CC=C(S3)Cl
101,C(C(C(=O)O)N)C(=O)N
102,C1COCCN1C(=O)/C=C/C2=C(C(=C(C=C2)SC3=CC=CC(=C3)N)C(F)(F)F)C(F)(F)F
103,CC[C@]1(CC(C2=C([C@H]1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O[C@H]6C[C@H]7[C@@H]([C@@H](O6)C)O[C@H]8[C@@H](O7)CC(=O)[C@@H](O8)C)N(C)C)O
104,C1=CC=C(C=C1)CC/C=C/C2=CC=CC=C2
105,CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
106,C[C@@H](CC(C)(C)O)O
107,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
108,C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)N(CCO)CC(=O)NO
109,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C
110,COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3
111,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
112,CC(C)CCCC(C)C1CCC2(C1(CCC3=C2CCC4C3(CCC(C4(C)C)O)C)C)C
113,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)COC(=O)CCC(=O)O)O)C)O
114,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O
115,C1[C@H](O[C@](O1)(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)CSC4=CC=CC(=C4)N.Cl
116,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)[O-])C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N
117,CC(=O)[CH2]
118,CC1=CN=C2N1C=CN=C2NCC3=CC=NC=C3
119,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
120,C1=CC=C2C(=C1)C(=CN2)CC(=O)N
121,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O
122,CC(=CCC1=C(OC2=C3C=CC(OC3=CC(=C2C1=O)O)(C)C)C4=C(C=C(C=C4)O)O)C
123,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
124,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
125,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4
126,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H]([C@H](O[C@@H]2[C@H](CO)O)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)[C@H](CO)O)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)[C@H](CO)O)O)O)O)O)O)O)O
127,C/C(=C\CCC1[C@]2(CCCC(C2CC[C@@]1(C)O)(C)C)C)/CC[C@@H]3C(=C)CCCC3(C)C
128,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4
129,CS(=O)C
130,C([C@@H](C(=O)O)N)OP(=O)(O)O
131,CC(C)C1=NC2=C(N1)C(=NC(=N2)N)OCC3CCCCC3
132,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O[C@@H]4[C@H](O[C@H]([C@@H]4O)N5C=NC6=C5N=CN=C6N)COP(=O)(O)O[C@@H]7[C@H](O[C@H]([C@@H]7O)N8C=NC9=C8N=CN=C9N)CO)O)O
133,C1=NC2=C(C(=N1)N)N=CN2[C@H]3C([C@H]([C@H](O3)CO)O)O
134,CC(=O)CO
135,CC(C)(C)OC(=O)NC1=C(N=CC=C1)C(=O)NC2=NC=CS2
136,[214Pb]
137,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
138,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42
139,C1CC(=C[NH+]([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N
140,C1CN(C[C@H](N1)C(=O)NCCCS)CC2=CC=C(C=C2)F
141,C1=CC(=CC=C1N)[As](=O)(O)O
142,C[S+](C)CCC(C(=O)O)N
143,CC1=C(N=CN1)CSCCNC(=NC)NC#N
144,CC(CCC(C)O)O
145,[Fe]
146,C([C@@H]1[C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)O)O)O
147,[Na+].[Na+].[S-2]
148,[C@@H]1([C@@H]([C@H]([C@H]2[C@@H]([C@@H]1O)O2)O)O)O
149,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C)C)CCC(=O)O)C(=C3C)CCC(=O)O)C.[Fe+2]
150,COC(C(C=O)O)C(C(CO)O)O
151,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)NC
152,[2H]C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])OS(=O)(=O)O
153,CC(=O)C1=CCC[C@H]2CCC1N2
154,C[N+]1(C2CC(CC1[C@@H]3[C@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[N+](=O)([O-])[O-]
155,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
156,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CCC6C5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O
157,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O
158,C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O
159,C[C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C
160,CCCCCC(=O)CC[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O
161,CO[P+](=O)OC
162,CC1=CC=CC=C1C2=NC3=C(C=NN3C(=C2)NCC4=C[N+](=CC=C4)[O-])Br
163,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
164,C1C[C@H](C2=C(C1)SC3=C2C(=O)NC(=N3)C(=O)NCC4=CC5=C(C=C4)OCC(=O)N5)CC(=O)N
165,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC
166,CC(CN)C(=O)O
167,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
168,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O
169,CNS(=O)(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)N[C@@H]3CCC[C@H]3N(C)C)C(F)(F)F
170,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O)O)O)O)O
171,C1=CC2=C(/C(=C/3\C4=C(C=C(C=C4)Br)NC3=O)/N=C2C=C1)NO
172,C(CS)O
173,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
174,[56Ni]
175,CC[Hg]SC1=CC=CC=C1C(=O)O
176,C([C@@H](C(=O)O)N)SS
177,C1[C@@H]([C@H]1[C@](CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
178,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=CC(=C4)CO
179,CCCC(C)(C1C[C@@]23C=CC1(C4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)C)OC)O
180,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
181,COC1=CC=C(C=C1)O
182,CC(C)C(=O)C(=O)O
183,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl
184,CCCSC1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)(C(P(=O)([O-])[O-])(Cl)Cl)[O-])O)O.[Na+].[Na+].[Na+].[Na+]
185,CN1CCN(CC1)[C@@H]2CN3C=CC=C3SC4=C2C=C(C=C4)Cl.Cl.Cl
186,C([C@H]([C@H](C=O)O)O)O
187,C1[C@H](NC(=O)NC1=O)C(=O)O
188,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N[C@@H](N2)C(Cl)Cl
189,C1CC1C2=CC(=NN2)NC(=O)CC3=CC4=CC=CC=C4C=C3
190,COC1=C(C=C(C=C1)CCN)OC
191,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
192,CCCCN1C(=NC2=C1N=CN=C2N)CC3=CC=C(C=C3)OC
193,CC(C)(C(=O)O)N
194,C([C@H]([C@@H](CS)O)O)S
195,C1=C(C(=O)NC(=O)N1)F
196,S.[As]
197,CC(C(=O)O)(Cl)Cl
198,CC1([C@@H](N[C@H](S1)[C@@H](C(=O)O)NC(=O)COC2=CC=CC=C2)C(=O)O)C
199,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13
200,C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)O)O)O)O
201,CC(C)CC([13C](=O)O)N
202,C([C@H]([C@H]([C@@H]([C@H](C=O)[18F])O)O)O)O
203,C[C@H]1C=CC2=CCC[C@@H]([C@@H]2[C@H]1CC[C@H]3C[C@H](CC(=O)O3)O)O
204,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
205,CC1([C@H]2C[C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O
206,C[C@@H](C1=CC=CN1)C2=C3C=C(C=CC3=NC2=O)O
207,C[C@H](CCCC(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C
208,[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
209,C[C@H](CCC[C@@H](C)C(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
210,[O-2].[O-2].[O-2].[O-2].[Co+2].[Co+3].[Co+3]
211,C1COC1=O
212,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C
213,CC1C(C2(C(C2(C)C)C3C1(C4C=C(C(=O)C4(CC(=C3)CO)O)C)O)O)O
214,[O-]S(=O)(=O)[O-].[Fe+2]
215,CC1(C2CCC1(C(=O)C2=O)C)C
216,CC(=O)[O-].CC(=O)[O-].[Ca+2]
217,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O
218,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
219,C1=CC=C(C=C1)NCC2=CN=CC=C2
220,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)O
221,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O
222,C1=CC=C(C=C1)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N
223,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H](C6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O
224,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
225,C[C@H](C(=O)O)[C@](CC(=O)O)(C(=O)O)O
226,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O
227,CCCCN1C2=C(C(=O)N(C1=O)CC=C)NC(=N2)CC3=CC=C(C=C3)NC(=O)C
228,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
229,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O
230,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
231,C[C@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
232,C1[C@@H]([C@H]([C@@H]([C@@H](N1)CO)O)O)O
233,C1=CC=C(C=C1)C[C@H](CS)C(=O)NCC(=O)O
234,CCCCCCCCCCCCC/C=C/C(C(CO)N(C)C)O
235,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2
236,C(CC(=O)C(=O)O)CC(=O)O
237,C1CC1C(=O)O
238,C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
239,[45Ca+2]
240,C1=C2C(=NC=N1)N(C=N2)C3C(C(C(O3)CO)O)O
241,COC1C(OC(C(C1O)O)OC2C(OC(C(C2O)O)OC)CO)CO
242,C1=CC2=NC=CN=C2C=C1/C=C\3/C(=O)NC(=O)S3
243,C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br
244,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC
245,C(CN)C(=O)O
246,CC(=O)C(=O)O
247,CC1=C(C=CC(=C1)C2=CSC(=N2)NC3=CC(=C(C=C3)C(=O)O)O)F
248,COCC1=C2C(=CC(=C1)O)[C@@H]3CC(C[C@@H]3[C@@H](O2)C4=CC=C(C=C4)O)(F)F
249,C1=C(C=C(C(=C1Cl)N)F)S(=O)(=O)NC2=NN=C(S2)S(=O)(=O)N
250,C(CC(C(=O)O)N)CO
251,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O
252,[C@@H]1([C@@H]([C@H](C([C@@H]1O)N)O)O)O
253,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N6CCO[C@@H](C6)OC)O
254,CC1=C(C(=O)C(=C(C1=O)N2CC2)CO)N3CC3
255,CN1C2=C(C(=O)N(C1=O)C)NC=N2
256,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@H](C4=CC(=O)C(=C[C@@]43C)Br)F)F)O)C)OC(=O)C
257,CCOCCOCCOCCOCCOCCOCCOCCOCCO
