,smiles,sequence,interactions
127,12623,806,1
128,9189,212,0
129,685,320,0
130,11049,171,0
131,1959,1995,0
132,4221,2193,0
133,13678,52,0
134,1359,111,0
135,13079,67,1
136,7385,86,0
137,12819,303,1
138,9254,391,1
139,1887,891,0
140,14173,604,1
141,5690,67,1
142,8823,77,0
143,13503,284,1
144,7300,1483,1
145,5001,18,0
146,11079,56,0
147,13747,196,0
148,8670,2129,1
149,204,17,0
150,615,1735,0
151,11508,32,0
152,3044,895,0
153,13448,1322,1
154,5034,1413,0
155,3352,77,0
156,196,964,0
157,9496,100,0
158,12895,22,1
159,10048,1936,0
160,8294,94,1
161,2030,3,0
162,1089,604,0
163,9669,34,0
164,11161,944,0
165,10322,343,1
166,1862,216,0
167,9517,18,0
168,1136,248,0
169,14499,178,1
170,8183,52,0
171,10457,1845,1
172,4387,27,0
173,4513,0,0
174,3689,17,0
175,12183,1919,0
176,3545,22,1
177,321,0,0
178,2816,32,0
179,31,1731,1
180,6520,41,0
181,242,1704,1
182,4337,211,1
183,741,101,0
184,871,764,0
185,6268,236,1
186,2693,52,0
187,5393,2028,1
188,1046,484,0
189,8934,66,0
190,11524,543,0
191,10834,66,0
192,1166,411,1
193,8722,149,0
194,10180,536,0
195,12313,51,0
196,2464,67,1
197,13507,84,1
198,7198,40,1
199,2708,369,1
200,10106,1824,0
201,885,37,0
202,566,682,0
203,242,321,1
204,1585,219,1
205,6221,37,0
206,10945,56,0
207,13941,52,0
208,3444,77,0
209,8048,110,0
210,14562,343,1
211,9394,985,0
212,13459,114,1
213,1563,158,0
214,1276,278,0
215,10651,200,0
216,9768,751,1
217,6937,61,0
218,8526,160,1
219,14303,3,0
220,1180,431,1
221,12614,246,1
222,3461,49,0
223,863,2503,0
224,2090,274,0
225,6383,402,1
226,277,916,0
227,1461,322,0
228,2684,40,1
229,3055,329,0
230,13086,42,0
231,6981,287,0
232,9032,160,1
233,12343,476,0
234,1628,2422,0
235,1251,440,0
236,180,181,1
237,6596,551,1
238,11896,654,1
239,9764,365,0
240,1771,1272,0
241,10622,42,0
242,6986,518,0
243,4008,128,0
244,242,1372,1
245,1225,320,0
246,2852,133,0
247,8198,1299,0
248,3811,2224,0
249,107,2034,0
250,6578,292,0
251,12049,235,0
252,755,1072,1
253,2228,94,0
254,2332,49,0
255,942,440,0
256,11987,181,0
257,8598,375,0
258,10340,52,0
259,5839,805,1
260,5630,0,0
261,11958,438,1
262,4297,17,0
263,109,2291,1
264,10554,371,1
265,1865,1990,0
266,10283,975,0
267,7743,321,1
268,8790,636,1
269,12277,40,1
270,7046,49,1
271,2213,223,0
272,1979,783,0
273,646,77,0
274,3703,228,0
275,13790,74,0
276,628,559,0
277,11885,317,0
278,10411,107,1
279,8020,1017,0
280,1978,125,1
281,10525,365,0
282,445,50,1
283,1137,31,0
284,658,77,0
285,8602,3,0
286,11047,91,0
287,1690,786,0
288,3774,60,0
289,2148,1023,0
290,11003,3,0
291,6588,514,0
292,242,7,1
293,3897,1032,0
294,3123,129,1
295,14353,995,0
296,2467,7,0
297,491,34,1
298,6170,244,0
299,11658,60,0
300,10855,195,0
301,7389,219,1
302,5989,77,0
303,8132,129,1
304,455,441,0
305,2115,129,0
306,6060,400,1
307,8366,375,0
308,11345,125,0
309,5765,196,0
310,2709,330,0
311,8756,77,1
312,887,119,0
313,9260,771,1
314,11352,149,1
315,8000,214,0
316,8650,750,1
317,2505,223,0
318,3545,265,0
319,9647,180,1
320,2774,418,0
321,220,41,0
322,5704,42,0
323,11051,128,0
324,4797,353,0
325,12164,2408,1
326,4512,77,1
327,6158,52,0
328,3639,169,1
329,9480,0,0
330,5109,59,0
331,14242,196,0
332,3209,13,1
333,242,668,1
334,13074,7,0
335,11190,196,0
336,4256,18,0
337,7787,27,0
338,686,220,1
339,6046,1338,0
340,3442,269,1
341,7078,862,1
342,742,222,0
343,12413,17,0
344,1503,185,0
345,8867,60,0
346,6228,157,1
347,6767,1596,0
348,5466,462,0
349,12852,3,1
350,10450,1264,1
351,4412,56,0
352,2244,442,0
353,6539,18,0
354,95,211,1
355,5088,7,0
356,1578,653,0
357,7199,204,0
358,12188,200,0
359,5654,547,0
360,7019,402,0
361,5978,33,0
362,7005,462,0
363,8815,1913,0
364,1672,215,0
365,10470,93,1
366,9585,3,0
367,13882,2035,0
368,3596,483,0
369,13923,360,1
370,9579,405,1
371,202,216,0
372,9375,132,0
373,4582,52,0
374,9806,103,1
375,14056,404,1
376,757,508,1
377,130,100,1
378,13640,0,0
379,2528,3,0
380,1229,137,0
381,10529,131,0
382,79,104,1
383,8599,1135,1
384,7079,242,1
385,6354,52,0
386,14036,7,0
387,4603,160,1
388,6655,3,0
389,6089,93,1
390,2964,77,0
391,12685,620,0
392,6604,32,0
393,5550,56,0
394,8660,102,0
395,5593,443,1
396,64,47,1
397,4027,26,1
398,9114,17,0
399,6608,1259,1
400,1117,0,0
401,4,3,0
402,561,536,0
403,4555,249,0
404,6525,166,1
405,8036,102,0
406,2255,48,0
407,3025,464,0
408,12997,604,1
409,1653,40,1
410,11504,189,1
411,11243,129,1
412,5231,83,1
413,2115,297,0
414,6165,40,1
415,2394,588,0
416,465,421,1
417,2600,382,1
418,2377,49,1
419,2584,148,1
420,12759,362,0
421,4378,1749,1
422,2081,235,1
423,994,407,0
424,3365,0,0
425,1578,157,0
426,9270,489,0
427,473,41,0
428,2943,902,0
429,3104,877,0
430,4470,653,0
431,10253,3,0
432,9785,95,1
433,7450,237,1
434,8127,3,0
435,11788,128,0
436,14169,91,0
437,8327,0,0
438,14210,53,1
439,9413,1722,1
440,8599,1521,0
441,12060,13,0
442,4683,29,0
443,8680,741,1
444,545,495,0
445,88,22,1
446,4514,73,1
447,7516,37,0
448,3437,1609,1
449,11779,39,1
450,6163,17,1
451,212,991,0
452,6,43,1
453,1723,95,0
454,12103,201,0
455,13064,204,0
456,7903,7,0
457,4242,17,0
458,11482,170,1
459,7947,73,1
460,7856,49,1
461,5722,376,0
462,338,60,0
463,6390,67,1
464,9861,405,0
465,8392,1028,1
466,863,1355,0
467,622,17,0
468,3870,765,0
469,8010,48,0
470,10092,2523,1
471,14395,648,0
472,1834,260,1
473,268,770,1
474,5383,17,0
475,2901,48,0
476,10079,77,0
477,12619,381,0
478,1865,784,0
479,10593,198,0
480,14627,473,1
481,1020,278,0
482,12355,38,1
483,4153,67,1
484,3426,77,0
485,7622,109,1
486,4115,3,0
487,7142,212,0
488,12108,1564,0
489,10255,626,0
490,1344,0,0
491,8924,38,1
492,4104,100,1
493,12849,1062,0
494,9128,438,0
495,4276,125,0
496,4464,389,1
497,4509,100,1
498,10513,741,1
499,13477,86,1
500,721,228,1
501,11711,115,0
502,10984,204,0
503,1718,762,0
504,1490,17,0
505,9606,31,1
506,1095,177,0
507,3927,397,1
508,10886,100,1
509,2072,56,0
510,13517,35,1
511,1285,133,1
512,6664,521,1
513,5408,34,0
514,1576,77,0
515,3208,940,1
516,9185,41,0
517,1391,40,1
518,13231,750,0
519,94,135,1
520,11235,225,1
521,8033,455,1
522,7441,35,0
523,7421,18,0
524,12390,719,0
525,3719,78,1
526,579,714,0
527,3229,3,0
528,5373,23,0
529,10300,380,1
530,12718,137,0
531,11212,405,0
532,465,512,0
533,6728,17,0
534,11329,326,1
535,2508,223,0
536,432,137,0
537,6758,1437,0
538,2087,43,0
539,14563,13,0
540,5493,891,0
541,2012,2306,1
542,7689,185,1
543,3178,1879,1
544,401,35,1
545,7902,32,0
546,766,1047,0
547,9531,770,1
548,10145,276,0
549,12277,32,0
550,20,223,0
551,4073,94,0
552,2342,74,0
553,2716,37,0
554,14145,231,0
555,126,98,1
556,5493,0,0
557,14512,235,0
558,6728,0,0
559,5621,447,0
560,416,93,1
561,194,3,0
562,623,447,1
563,5009,3,0
564,6587,750,0
565,3537,72,0
566,6886,490,1
567,4227,514,0
568,10418,37,0
569,12864,32,0
570,4400,438,0
571,8082,821,1
572,8466,269,1
573,11488,254,0
574,8851,908,0
575,1543,3,0
576,880,1701,0
577,6153,100,0
578,908,111,0
579,2920,187,0
580,22,21,0
581,8524,77,0
582,5947,200,0
583,6954,0,0
584,659,43,1
585,8878,37,0
586,1464,117,0
587,13180,173,0
588,4458,0,0
589,4665,17,0
590,2222,52,0
591,4204,160,1
592,397,247,1
593,553,709,1
594,8352,83,1
595,14249,620,0
596,1507,204,0
597,2582,49,1
598,13437,56,0
599,681,1369,1
600,5762,221,0
601,1458,372,0
602,7545,40,0
603,4411,405,1
604,3916,2023,0
605,8887,0,0
606,2343,32,0
607,13127,780,0
608,3264,365,0
609,14532,110,0
610,12347,232,1
611,3331,19,1
612,49,1205,0
613,10422,835,0
614,3206,80,1
615,12175,771,0
616,2866,32,1
617,8805,52,0
618,5819,129,1
619,9976,210,1
620,10218,372,1
621,3228,689,0
622,9491,292,0
623,13710,115,0
624,13484,18,0
625,1331,204,0
626,699,399,1
627,2226,0,0
628,8309,220,0
629,3394,89,0
630,5546,100,1
631,9994,315,1
632,5053,835,0
633,1857,242,1
634,7490,495,0
635,4984,52,0
636,13546,326,0
637,10256,807,0
638,3438,534,1
639,2337,782,1
640,4511,98,0
641,3942,831,0
642,11500,23,0
643,404,248,1
644,10964,77,0
645,3356,7,0
646,4388,41,0
647,6178,770,1
648,10394,344,0
649,1331,655,0
650,6455,521,1
651,1438,846,1
652,1975,476,0
653,269,187,1
654,7907,17,0
655,4029,126,1
656,2588,330,0
657,1204,17,0
658,12444,77,1
659,9039,77,0
660,5472,110,1
661,11113,489,1
662,13555,2555,0
663,9923,557,0
664,6511,0,0
665,2418,131,0
666,12170,42,0
667,919,5,0
668,3621,195,0
669,1299,34,1
670,4952,97,0
671,533,149,0
672,10670,59,0
673,11136,1382,1
674,6673,562,0
675,3362,615,0
676,10230,1818,1
677,1567,95,1
678,1878,35,1
679,1480,910,0
680,1870,1800,0
681,13686,56,0
682,1808,361,0
683,6297,108,0
684,3066,343,1
685,5381,46,1
686,9158,0,0
687,197,139,1
688,338,494,1
689,415,35,1
690,659,943,1
691,10726,52,0
692,13083,439,1
693,5454,926,1
694,944,53,0
695,2786,2123,0
696,3394,687,1
697,12016,34,1
698,11710,168,1
699,1538,3,0
700,1563,111,0
701,12320,192,1
702,5131,3,0
703,7967,7,0
704,11515,50,1
705,4905,113,1
706,5719,374,0
707,14552,687,1
708,14142,3,0
709,1299,438,1
710,10821,558,0
711,6170,3,0
712,5187,1212,1
713,12098,83,1
714,14250,797,1
715,7755,67,1
716,2705,1466,1
717,8014,1047,1
718,7689,219,1
719,4423,794,1
720,13947,518,0
721,8870,297,0
722,2260,67,1
723,1056,129,1
724,13547,18,0
725,7999,2252,1
726,220,154,0
727,2255,197,0
728,11506,242,0
729,3751,41,0
730,7846,405,0
731,4166,345,0
732,14158,42,0
733,7515,47,1
734,14263,24,0
735,5735,77,0
736,968,0,0
737,13698,2390,1
738,5750,18,0
739,7995,485,0
740,8085,3,0
741,11163,52,0
742,9417,95,1
743,14097,67,1
744,5740,653,1
745,4275,471,1
746,4926,3,0
747,6533,68,0
748,5908,1407,1
749,8866,634,0
750,3241,926,1
751,10273,42,0
752,8158,101,1
753,6125,41,0
754,2119,836,1
755,7367,329,0
756,10625,120,1
757,12073,100,1
758,9080,37,0
759,11720,83,1
760,3728,17,0
761,4070,25,0
762,8047,49,0
763,5733,269,1
764,10282,284,1
765,1374,160,0
766,2157,265,0
767,4700,570,1
768,11441,77,0
769,1738,99,1
770,14188,150,1
771,6524,170,1
772,14624,343,1
773,630,519,1
774,1801,193,1
775,13252,749,0
776,2489,771,0
777,3975,807,1
778,3552,113,1
779,258,0,0
780,9281,1,0
781,11472,50,1
782,9902,35,1
783,10139,428,1
784,1089,2315,0
785,2452,156,0
786,10652,196,0
787,7777,230,1
788,10383,372,1
789,13711,26,0
790,4726,77,0
791,2095,55,1
792,11991,77,0
793,11714,703,1
794,9384,17,0
795,6346,67,1
796,13673,126,1
797,5939,599,1
798,13866,42,0
799,1928,3,0
800,6256,52,0
801,345,32,0
802,4865,3,0
803,7646,110,0
804,3861,51,1
805,5817,224,1
806,3235,256,0
807,10454,66,0
808,4601,8,1
809,5829,1317,0
810,11222,56,0
811,4431,768,0
812,7306,818,0
813,228,34,1
814,1811,276,1
815,2670,235,0
816,4988,8,1
817,11069,937,0
818,13628,50,1
819,5101,2189,1
820,2730,3,0
821,6363,343,1
822,8986,111,0
823,3834,91,1
824,3143,3,0
825,12216,77,0
826,8586,48,1
827,5180,58,0
828,12805,650,0
829,8001,978,0
830,2541,49,1
831,437,557,0
832,618,343,1
833,1600,135,1
834,7464,77,0
835,1768,22,1
836,12630,47,1
837,12687,265,0
838,5416,80,1
839,11332,100,0
840,1225,476,1
841,8815,1657,0
842,1615,609,1
843,4410,672,0
844,8725,403,1
845,4394,93,1
846,6882,2337,0
847,13480,18,0
848,13372,1095,1
849,2994,460,0
850,4043,1059,1
851,11399,67,1
852,7964,0,0
853,14463,18,0
854,8371,17,0
855,354,229,0
856,513,172,0
857,5582,125,1
858,2533,3,0
859,10336,316,1
860,13281,18,0
861,7550,180,0
862,2816,40,0
863,11792,39,0
864,4118,871,0
865,12612,50,1
866,3801,256,1
867,4788,7,0
868,933,184,0
869,13722,52,0
870,13953,817,0
871,8573,214,0
872,3020,1032,1
873,5078,229,1
874,13445,52,0
875,1571,18,0
876,1089,1442,0
877,4132,1878,0
878,6713,128,0
879,12727,32,0
880,13200,198,0
881,4558,60,0
882,3291,467,0
883,6716,3,0
884,11528,19,1
885,5459,3,0
886,12139,1901,0
887,12171,267,0
888,38,1248,0
889,9219,411,1
890,3238,41,0
891,8008,49,0
892,7367,260,0
893,11189,1280,0
894,784,77,0
895,13709,473,1
896,4454,142,1
897,3035,115,0
898,11289,228,0
899,3177,7,0
900,6638,0,0
901,11842,624,0
902,9282,77,0
903,268,733,0
904,8831,214,0
905,2139,149,0
906,4149,242,1
907,8548,220,0
908,12221,148,1
909,10982,77,0
910,1389,926,1
911,1144,17,0
912,5619,382,1
913,2741,37,0
914,3544,933,0
915,14582,891,0
916,12454,129,1
917,7248,77,0
918,434,28,1
919,6105,100,1
920,6914,375,1
921,3340,40,1
922,14271,768,0
923,14126,195,0
924,1661,466,0
925,2793,24,0
926,8169,366,1
927,9428,18,0
928,4229,89,1
929,4767,0,0
930,1426,48,0
931,3901,48,0
932,1227,18,0
933,2728,856,0
934,12898,67,1
935,385,122,0
936,14417,204,0
937,10811,242,0
938,411,0,0
939,14124,8,1
940,7996,17,0
941,1088,376,0
942,4573,1211,0
943,1931,100,1
944,13991,341,1
945,7950,34,1
946,69,769,1
947,2746,1,0
948,1195,929,1
949,10146,543,1
950,2110,920,0
951,3618,392,0
952,11778,149,0
953,7142,10,1
954,1937,836,0
955,13818,79,0
956,1163,9,1
957,4066,3,0
958,3231,460,0
959,682,143,1
960,605,334,1
961,3314,1,0
962,1144,427,1
963,13951,997,0
964,8441,214,0
965,658,750,0
966,2054,201,0
967,13404,80,1
968,2180,966,0
969,1886,370,1
970,323,171,0
971,5618,128,0
972,5004,267,0
973,2190,443,1
974,3750,1313,0
975,5969,2287,0
976,5771,419,1
977,7274,139,1
978,371,25,0
979,3285,48,0
980,13029,67,1
981,2395,39,1
982,9824,18,0
983,368,1915,1
984,10724,102,0
985,8009,230,1
986,3949,50,1
987,863,1626,0
988,8806,126,1
989,8753,37,0
990,9268,376,0
991,9200,35,1
992,13755,77,0
993,5192,216,0
994,270,613,1
995,6708,17,0
996,8763,314,0
997,7869,35,1
998,3911,310,0
999,9558,78,1
1000,1634,964,1
1001,9254,200,0
1002,6358,2205,1
1003,665,212,0
1004,687,360,1
1005,5912,196,0
1006,9473,100,1
1007,6217,149,0
1008,10726,37,0
1009,10372,158,1
1010,5626,3,0
1011,2114,329,1
1012,11501,17,0
1013,13910,51,1
1014,8426,22,0
1015,8527,38,1
1016,6953,18,0
1017,10537,7,0
1018,5663,25,0
1019,2640,1133,0
1020,8702,447,1
1021,11604,17,0
1022,2125,32,0
1023,13451,42,0
1024,5913,25,0
1025,8484,91,1
1026,9602,95,1
1027,4540,736,1
1028,2231,77,0
1029,12199,39,1
1030,863,382,0
1031,2978,794,0
1032,2773,77,0
1033,7269,269,1
1034,14040,242,0
1035,6941,437,0
1036,13496,558,1
1037,8888,1429,0
1038,1406,373,0
1039,11590,39,1
1040,2671,67,1
1041,10089,42,0
1042,5222,832,0
1043,10900,91,0
1044,2542,220,0
1045,3597,274,0
1046,5812,520,1
1047,12867,77,0
1048,5050,613,1
1049,9003,1769,0
1050,9326,234,0
1051,10106,65,1
1052,2416,246,0
1053,1530,619,1
1054,3277,17,1
1055,1291,402,0
1056,5697,0,0
1057,11465,890,0
1058,3234,520,1
1059,979,117,0
1060,692,617,1
1061,10304,125,0
1062,9812,77,0
1063,2386,534,1
1064,7836,3,0
1065,3733,109,1
1066,2616,77,0
1067,6895,7,1
1068,3469,265,1
1069,13896,369,1
1070,2868,125,1
1071,9283,67,1
1072,3322,223,0
1073,4887,361,0
1074,12591,382,0
1075,12173,501,0
1076,2749,0,0
1077,14095,52,0
1078,4599,523,1
1079,12681,438,1
1080,3579,3,0
1081,2086,17,0
1082,12745,173,1
1083,1549,197,0
1084,3939,638,1
1085,8979,1693,1
1086,630,4,0
1087,4407,818,0
1088,8817,34,1
1089,3011,413,1
1090,1801,3,0
1091,11562,140,0
1092,2970,232,1
1093,4511,552,1
1094,2781,256,0
1095,2668,1351,0
1096,3644,223,0
1097,5901,39,1
1098,5786,771,1
1099,11814,52,0
1100,3826,40,1
1101,3467,128,0
1102,8544,67,1
1103,4592,0,0
1104,6830,0,0
1105,11868,32,0
1106,11164,135,1
1107,943,1067,0
1108,1609,97,1
1109,3123,19,1
1110,10997,204,0
1111,1078,1161,0
1112,1035,131,0
1113,8546,473,1
1114,4566,547,0
1115,3662,122,0
1116,10503,55,1
1117,387,223,0
1118,6621,16,1
1119,13105,129,1
1120,309,189,1
1121,3591,42,0
1122,10993,48,0
1123,12445,52,0
1124,3348,140,0
1125,4638,1476,0
1126,2017,37,0
1127,11306,67,1
1128,11004,242,0
1129,9519,749,0
1130,11966,473,1
1131,5935,248,1
1132,5604,397,1
1133,3588,18,0
1134,517,153,0
1135,12622,34,1
1136,9435,358,1
1137,527,27,0
1138,9456,836,0
1139,2250,3,0
1140,7878,47,1
1141,1369,1974,0
1142,12001,321,1
1143,4804,0,0
1144,10924,539,0
1145,766,594,0
1146,8038,406,1
1147,11935,237,1
1148,5799,60,0
1149,4252,170,1
1150,5566,424,1
1151,14578,232,1
1152,1208,1106,1
1153,8242,326,1
1154,2680,187,0
1155,3699,369,1
1156,376,238,0
1157,11948,418,0
1158,4432,620,1
1159,320,326,0
1160,5015,208,0
1161,6748,79,0
1162,9551,1142,0
1163,4348,709,0
1164,9554,2263,1
1165,14270,256,1
1166,9880,49,1
1167,3443,220,1
1168,9140,73,1
1169,5162,939,1
1170,9427,418,0
1171,1046,771,0
1172,6845,24,0
1173,5233,7,0
1174,2378,977,0
1175,5233,39,1
1176,8438,446,0
1177,2709,1079,0
1178,4122,28,1
1179,5602,161,1
1180,8673,1166,1
1181,13147,42,0
1182,10194,61,0
1183,2469,786,0
1184,587,180,1
1185,7924,242,1
1186,1900,223,0
1187,8605,83,1
1188,8575,326,1
1189,904,25,0
1190,2998,1184,0
1191,7625,37,0
1192,12647,50,1
1193,9875,66,0
1194,9990,242,0
1195,4465,259,1
1196,8324,0,0
1197,1827,32,0
1198,14030,237,0
1199,12679,0,0
1200,3936,698,0
1201,3702,267,0
1202,10356,155,0
1203,6004,102,0
1204,8735,50,1
1205,5558,716,1
1206,1225,31,0
1207,13004,178,0
1208,7748,39,1
1209,6928,438,0
1210,13795,67,1
1211,1942,103,1
1212,4186,836,0
1213,3722,85,1
1214,1596,51,0
1215,3858,114,1
1216,1909,3,0
1217,3917,501,0
1218,13,1956,1
1219,4622,220,0
1220,2300,405,1
1221,610,228,1
1222,3407,52,0
1223,593,52,1
1224,7280,23,0
1225,3255,0,0
1226,13526,176,0
1227,13941,100,1
1228,12415,428,1
1229,567,456,0
1230,2734,48,0
1231,11385,77,0
1232,11635,42,0
1233,6978,41,0
1234,4233,701,0
1235,273,675,1
1236,6788,230,1
1237,332,405,0
1238,9908,1939,0
1239,12274,37,0
1240,2241,46,1
1241,13456,505,0
1242,9858,3,0
1243,484,442,0
1244,8741,68,0
1245,7000,198,0
1246,13236,109,1
1247,1241,409,1
1248,4719,2045,0
1249,1562,877,0
1250,4234,82,1
1251,14325,369,1
1252,1518,2299,0
1253,12416,26,0
1254,3294,957,0
1255,766,2338,1
1256,8928,52,0
1257,4239,77,0
1258,10663,0,0
1259,10369,33,0
1260,4438,288,0
1261,9687,17,0
1262,4416,67,1
1263,6523,2531,1
1264,4410,4,0
1265,14473,329,0
1266,2,48,0
1267,823,409,1
1268,13460,725,0
1269,384,242,0
1270,6659,497,1
1271,6614,77,1
1272,10375,35,1
1273,1950,27,1
1274,5362,1504,0
1275,9351,214,0
1276,386,8,1
1277,3502,460,0
1278,8371,3,0
1279,8772,577,1
1280,11586,243,1
1281,11285,37,0
1282,1263,204,0
1283,12417,32,0
1284,1239,1660,1
1285,9795,7,0
1286,1195,1051,0
1287,8334,204,0
1288,1784,187,1
1289,4082,725,0
1290,8664,1641,1
1291,9011,166,1
1292,1676,1,0
1293,843,101,0
1294,14243,813,1
1295,11260,77,0
1296,11962,208,0
1297,11617,0,0
1298,12396,3,0
1299,663,18,0
1300,13807,100,1
1301,5832,797,1
1302,10791,485,0
1303,5652,1000,1
1304,4213,52,0
1305,4377,402,1
1306,10300,17,0
1307,2006,39,1
1308,4205,42,0
1309,13342,43,1
1310,11229,40,1
1311,546,17,0
1312,2808,261,0
1313,13145,128,1
1314,6781,402,1
1315,11175,17,0
1316,5153,77,0
1317,11724,142,0
1318,3644,690,0
1319,12332,442,0
1320,3367,969,1
1321,8533,673,0
1322,10632,703,1
1323,11256,93,1
1324,12707,18,0
1325,10930,99,1
1326,1767,1084,1
1327,343,464,1
1328,2419,462,1
1329,7329,7,0
1330,120,254,0
1331,13742,101,0
1332,8871,41,0
1333,19,18,0
1334,6200,1021,0
1335,5526,617,0
1336,6066,1267,1
1337,13090,60,0
1338,1763,674,0
1339,1628,512,0
1340,2545,904,0
1341,9072,43,1
1342,3253,991,0
1343,5111,42,0
1344,8553,686,1
1345,4500,120,0
1346,5409,473,1
1347,5878,185,0
1348,7702,101,0
1349,7553,91,0
1350,12947,46,0
1351,3026,109,0
1352,2888,849,0
1353,2910,624,0
1354,2561,165,1
1355,12689,431,0
1356,13227,0,0
1357,7506,3,0
1358,2707,35,0
1359,9879,55,1
1360,14335,196,0
1361,6535,363,0
1362,2114,38,1
1363,11568,449,1
1364,198,2501,1
1365,377,399,0
1366,5908,283,0
1367,8823,47,1
1368,7018,77,0
1369,1168,200,1
1370,9173,1000,1
1371,11818,1274,1
1372,2234,100,1
1373,6109,7,1
1374,5563,52,0
1375,10879,91,0
1376,4568,832,0
1377,9187,47,1
1378,5557,1891,0
1379,7133,709,0
1380,2142,749,0
1381,2866,6,0
1382,10170,32,0
1383,12335,19,0
1384,7787,160,0
1385,7953,361,0
1386,242,223,0
1387,11899,2171,1
1388,2667,160,1
1389,1183,18,0
1390,2770,1783,1
1391,5909,1079,0
1392,2722,35,1
1393,7144,1023,0
1394,1668,446,1
1395,8992,462,1
1396,6716,41,0
1397,1423,831,1
1398,9037,392,0
1399,11193,128,0
1400,937,1666,0
1401,1390,212,1
1402,3059,95,0
1403,13565,540,0
1404,2581,41,0
1405,10415,64,1
1406,11807,66,0
1407,2246,214,0
1408,1966,90,1
1409,5518,3,0
1410,7155,834,0
1411,9047,344,0
1412,1612,223,0
1413,3066,396,0
1414,7280,53,0
1415,10382,883,0
1416,602,333,0
1417,8790,861,0
1418,2629,37,0
1419,4813,2600,1
1420,5249,37,0
1421,10960,17,1
1422,11112,214,0
1423,2001,35,1
1424,7022,67,1
1425,6800,345,1
1426,10432,228,1
1427,5405,42,0
1428,5251,669,0
1429,6136,67,1
1430,244,1,0
1431,38,348,0
1432,11708,26,0
1433,8705,1868,1
1434,9136,102,0
1435,6808,208,0
1436,13540,967,0
1437,4477,246,0
1438,6857,17,0
1439,774,0,0
1440,10866,102,0
1441,1996,648,0
1442,1567,455,1
1443,8211,374,0
1444,12459,35,1
1445,7669,17,0
1446,1336,1,0
1447,9146,41,0
1448,7927,809,0
1449,8940,1306,0
1450,5916,214,0
1451,12742,67,1
1452,10056,87,0
1453,13497,18,0
1454,1384,1217,1
1455,1998,269,0
1456,615,1801,0
1457,8766,7,0
1458,5408,438,0
1459,5129,204,0
1460,1102,1800,0
1461,13233,86,0
1462,10551,109,1
1463,9915,1023,0
1464,13994,613,0
1465,9512,142,1
1466,11414,143,1
1467,5296,5,1
1468,6435,49,1
1469,4570,8,1
1470,591,0,0
1471,7541,1296,0
1472,3188,129,1
1473,9817,91,0
1474,1088,19,1
1475,4115,0,0
1476,11875,429,0
1477,13118,445,1
1478,14258,143,0
1479,13799,34,1
1480,5293,743,0
1481,14338,7,0
1482,7312,38,0
1483,5244,77,0
1484,12956,7,0
1485,5925,39,1
1486,171,155,0
1487,4606,343,1
1488,5007,187,0
1489,4002,42,0
1490,4010,175,0
1491,860,220,0
1492,11767,35,1
1493,10584,3,0
1494,8937,42,0
1495,3483,256,1
1496,5328,1181,0
1497,12944,82,1
1498,13637,1051,1
1499,2937,3,0
